___ annotation is used to specify URI of the resource | @path
Which statement is true about both stateful and stateless session beans about bean instances? | a. bean instances are not require to survive container crashes
Which statement is true about EJB 3.0 containers? | a. javax.naming.initialcontext is guaranteed to provide a jndi name space
Which statement is true about EJB 3.0 stateful session beans and stateless session beans? (Choose one) | a. both can have multiple remote and local business interfaces
Which statement is true about management of an EJB's resources? | a. the reference to home object is obtained through jndi to improve maintainability and flexibility.
Which statement is true about the EJB 3.0 stateful session beans? | a. its conversational state is retained across method invocations and transactions
Which statement is true about the use of a persist operation in a transaction of an Entity Beans | c. if a user persists a new entity with an existing primary key the transaction will fail
Which statement is true? | all of the above.
Which statement is true? | all xml elements must be properly closed
Which statement is true? | when isthreadsafe attribute of page directive is set to true, a thread is created for each request for the pag
Which statement is true? | xml tags are case sensitive xml documents must have a root tag xml elements must be properly closed.
Which statement is used to describe about multi-pipeline? | xml is mapped to bean object, then it applied to many jsp
Which statement(s) about Servlet Life Cycle is(are) correct? (Choose one) | all the others
Which statements are BEST describe <jsp:getProperty> Action? | c. sets a property in the specified javabean instance. a special feature of this action is automatic matching of request parameters to bean properties of the same name.
Which statements are BEST describe <jsp:include> Action? | b. dynamically includes another resource in a jsp. as the jsp executes, the referenced resource is included and processed.
Which statements are BEST describe errorPage attribute of <%@ page errorPage=....%> directive? | a. any exceptions in the current page that are not caught are sent to the error page for processing. the error page implicit object exception references the original exception.
Which statements are BEST describe id attribute of <jsp:useBean id=..... /> Action? | a. the name used to manipulate the java object with actions <jsp:setproperty> and <jsp:getproperty>. a variable of this name is also declared for use in jsp scripting elements. the name specified here is case sensitive.
Which statements are BEST describe isErrorPage attribute of <%@ page isErrorPage=....%> directive? | b. specifies if the current page is an error page that will be invoked in response to an error on another page. if the attribute value is true, the implicit object exception is created and references the original exception that occurred.
Which statements are BEST describe name attribute of <jsp:setProperty name=.... /> action? | a. the id of the javabean for which a property (or properties) will be set.
Which statements are BEST describe page implicit object of jsp file? | b. this java.lang.object object represents the this reference for the current jsp instance.
Which statements are BEST describe prefix attribute of <%@ taglib prefix=...%>directive of JSP file? | a. specifies the relative or absolute uri of the tag library descriptor.
Which statements are BEST describe prefix attribute of <%@ taglib prefix=...%>directive of JSP file? | b. specifies the required prefix that distinguishes custom tags from built-in tags. the prefix names jsp, jspx, java, javax, servlet, sun and sunw are reserved.
Which statements are BEST describe property attribute of <jsp:setProperty property=.... /> Action? | a. the id of the javabean for which a property (or properties) will be set.
Which statements are BEST describe taglib directive of JSP file? | c. allows programmers to include their own new tags in the form of tag libraries. these libraries can be used to encapsulate functionality and simplify the coding of a jsp.
Which statements are true? | the dtd specifies ... + the dtd contains the list of tags allowed within the xml document, and their types and attributes.
Which syntax is correct for JSP Declarations? | <%! code %>
Which syntax is correct for JSP Scriptlets? | <% code %>
Which syntax is used to declare the attribute of an element in DTD? | none of the others
Which syntax is used to insert comments into an XML document | <!-this is a comment->
Which three digit error codes represent an error in request from client? Select the one correct answer | c. codes starting from 400
Which top level XSLT element is used to define a variable in a stylesheet or template and to assign it a value | xsl:variable
Which type of JEE (or J2EE) component is used to store business data persistently? | c. entity bean
Which VBScript function returns an integer indicating the variant subtype? | d) vartype
Which ways are the CSS style rules applied to HTML? | none of the others
Which XML parser supports XPath capability? | dom
Why does DTD need? | place preconditions on the data the programs read
With an extensible Schema definition you cannot: | all the above
With DTD, each of your XML files can carry a ________ of its own format with it. | description
With in a context-param element of deployment descriptor, which of the following element is required? | param-name
With reference to the snippet of code given below, choose the correct syntax to complete the second line in order to create a XML Document Object var sample sample = ________________________ | new activexobject("microsoft.xmldom")
With the ________, scripts can respond to a user moving the mouse, scrolling up or down the screen or entering keystrokes. | event model.
With XML Schemas, the senders can ________ the data in a way that the receiver will understand. | describes
With XPath expressions, _______ are used to select the descendants of an element. | // (double forward slashes)
WML for handheld devices is written in XML. | true
Writing an Internal DTD inside a DOCTYPE is known as: | wrapping
www.w3schools.com | an excellent xml tutorial can be found here
XML (definition) | a set of rules for encoding documents in machine-readable form
XML allows creation of multiple root elements | false
XML allows data exchange as it has no formatting instructions | t
XML can be implemented as middle-tier for client server architectures | t
XML Can be Used to | create new language.
XML can only be transformed into HTML or XHTML. | false
XML cannot be used with HTML. | false
XML consists of rules to identify and define different parts of the document | t
XML data can be embedded in HTML. | t
XML datatype was introduced in which of the following versions of SQL Server ? | sql server 2005
XML declaration informs the processing agent about the version of XML being | t
XML declaration is also a processing instruction. | true
XML defines the way elements relate to one another within the documents tree structure, and specifies the attributes | false
XML describes its data along with its presentation | f
XML developer has to ensure the uniqueness of the element names and attributes in a document? | true
XML document is edited by keeping DTD in mind | t
XML document must be valid? | true
XML documents are stored with xml extension | t
XML documents can be formatted using text editors. | false
XML documents referencing the DTD will contain the __________ declaration which specifies the location of an external DTD. | <!doctype>
XML DOM - defines a standard set of objects for XML documents only | true
XML DOM defines a standard way for | accessing and manipulating xml documents
XML DOM is: | xml document object model
XML elements cannot be empty. | false
XML forms the basis to create languages like WAP and WML. | t
XML Fragment <tomcat-users> <role rolename="admin"/> <role rolename="manager"/> <role rolename="user"/> <role rolename="tomcat"/> <user username="ide" password="ee1KER95" roles="manager,admin"/> <user username="tomcat" password="tomcat" roles="tomcat"/> <user username="khanhkt" password="trongkhanh" roles="manager,admin"/> <user username="guest" password="123456" roles="username"/> </tomcat-users>The Java code fragment using DOM API Document doc = db.parse(new File(path + "WEB-INF/tomcat-users.xml")); XPathFactory xpf = XPathFactory.newInstance(); XPath xpath = xpf.newXPath(); String exp = "//user[contains(@username, 'a')]"; NodeList node = (NodeList) xpath.evaluate(exp, doc, XPathConstants.NODELIST); Choose the correct statement. Assume that all code and file path are correct | the application can get more than one node
XML generated by a servlet or JSP CANNOT be displayed by a browser in which one of the following ways? | by passing it from a browser to another servlet or jsp for reformatting
XML gives you a way of packaging your data, and it's taken off largely because XML documents are text | which has meant that you can send them using the existing internet framework, as built for html.
XML is | free and extensible
XML is a _______ Recommendation | w3c
XML is a Complement to | html
XML is a Meta-Language. Select the option which best describes the statement given above. | describes other languages.
XML is a subset of | sgml
XML is more advantageous to use than a fixedlength database system because | all of the above.
XML is not validated. | f
XML is the mother of | wap and wml
XML is transformed only via XSLT? | false
XML is used for web services. | true
XML offers a standard way to add markup to documents | t
XML parser can perform operations on input of any data type | f
XML parser checks for validity and well-formed ness? | true
XML parser does its work after the processor converts the document into a data | f
XML parser is a software package, library or module that reads XML document | t
XML parser is calculated against its speed and performance | t
XML parser reads the document after it is created. | t
XML parsers support ___ bit and ___ bit Unicode encoding corresponding to ASCII. | 8 + 16
XML preserves white spaces | true
Xml property of the XMLDOMNode object is a read only property. | true
XML provides a software and hardware independent way of sharing data. | true
XML Schema | an xml-based alternative to dtd
XML Schema became a W3C Recommendation | 02. may 2001
XML Schema file extension is what | xsd
XML Schema is designed to | be selfdescriptive.
XML Schemas are the Successors of | dtd
XML stores data in fixed lengths. | false
XML syntax is colored | t
XML syntax is used as the basis to create a schema, so it can be stored with the same extension .xml (dot XML). | f
XML tags are case sensitive | t
XML tags are predefined | f
XML uses | an xml schema to describe the data
XML uses only XSLT to be transformed to HTML | f
XML View Technology is useful in the following situations: | you want to bulk load xml data and decompose them into the underlying tables by using the xml view
XML vocabulary is used for specifying formatting semantics. | true
XML was designed to describe data. | t
xml, variation | xml name cannot start with the letters __________ or any __________ of them
xml:stylesheet is a special declaration for linking XML documents wit XSLT stylesheets, and it must be placed before your xml declaration to successfully link your XML file to your XSLT code. | false
xmlDoc.async= false mean: | complete document must be loaded before futher processing
XMLDOMCDATASection' is an XML DOM Object that: | quotes or escapes blocks of text so that text is not interpreted as markup language.
XMLDOMEntity' is an XML DOM Object that: | none of the options given
XMLDOMNamedNodeMap' is an XML DOM Object that: | provides iteration and access by name to the collection of attributes.
XMLDOMNode implements the interface | ixmldomnode
XMLDOMNode' is an XML DOM Object that: | represents the base interface for accessing data in the xml object model.
XMLDOMNodeList' property is: | read only
xmlns:localname="value" is the correct syntax for including a attribute in a namespace. | f
xmlns:xs=fihttp://www.w3.org/2001/XMLSchemafl is used to | identify the xml schema specifications used in the xml schema
Xpath can be thought of as a query language like SQL | true
XPath can locate any type of information in an XML document with one line of code that returns a value when executed and is referred to as a(n) ________. | expression
Xpath expressions can be created using _________ paths, so that instead of starting at the root element, you can simply reference the element from within the path structure and go from there. | relative
XPath is used to navigate through elements and attributes in an XML document | t
XPath provides a common syntax for features shared by XSLT and XQuery | t
XPath provides multiple syntax that can be used for queries, addressing and patterns | f
XSD is: | xml schema definition
xsi:schemaLocation=ficustomers.xsdfl is used to | identify the location of the xml schema
XSL ________ how the XML document should be displayed | describes
XSL consists of three parts. Which are | xslt, xpath, xsl-fo
XSL describes how the XML document should be displayed, | t
XSL does not provide support for: | it provides support for all the options stated.
XSL elements can be used to perform complex calculations | t
XSL in Internet Explorer 5.0 is 100% compatible with the latest released W3C XSL standard. | f
XSL is a stylesheet application specifically for HTML, | f
XSL is BEST described as a | declarative language
XSL processors do parses the XML source and tries to find out the matching _______ rule. | template
XSL provides a transformation language called: | xslt
XSL stands for: | extensible stylesheet language
XSL uses XSLT to transform an XML ____________ into an XML _______________. | source tree+result tree
XSLT | w3c recommends using __________ instead of css
XSLT | with __________ you can transform an xml document into html
XSLT allows any kind of data to be tranformed into | boolean
XSLT allows any kind of data to be transformed into a boolean value | t
XSLT and CSS are compatible standards. | t
XSLT can also be called as XSLT document or transformation script | f
XSLT does not physically change an XML document- just how it is displayed. | true
XSLT files must be save with _______ extension. | .xsl
XSLT is used style and transform XML documents. | true
XSLT is used to convert documents written in one XML DTD, into another DTD. | true
XSLT is: | extensible stylesheet language transformation
XSLT takes two things as input: an XSLT stylesheet and an xml input document | true
Xslt's styles can be applied to XML elements selectively based on the element's attribute value. | true
XTLRuntime,XMLDOMNotation are exceptions that do not inherit methods and properties from the XMLDOMNode object. | f
You also need to set the ref attribute of the input control to "/data/input". | .
You avoid conflict between an XML special character and information in an XML document by using a comment. | false
You can access it as dso .recordset("address"), where dso is the name of the DSO | .
You can also use a DTD to verify your own | data
You can append the <child> element to the <element> element by using the <child> element's __________ method. | appendchild
You can call a Document object's getElementsByTagName method like this: document.getElementsByTagName("senator") | .
You can call xmlDocumentObject.getElementsByTagName("senator") to get a list of all the <senator> elements in a document. | .
You can check the XMLTextReader object's NodeType property, which you can compare to fields such as XmlNodeType.XmlDeclaration and XmlNodeType.ProcessingInstruction. | .
You can create an XML island that makes the XML data in a document named data.xml available as a DSO named data by using this HTML element: | <xml src="data.xml" id="data"></xml>
You can create the <child> element by using a Document object's ______________ method. | createelement
You can create the <child> element by using a Document object's createElement method, create the text in it by using the | createtextnode method
You can create the text in it by using the ___________ method. | createtextnode
You can declare elements by using <xsd:element> | and attributes by using <xsd:attribute>
You can declare the element like this | <xsd:element name="name" type="xsd:string"/>
You can do this in an XML schema: | <xsd:attribute name="language" type="xsd:string" use="optional"/>.
You can escape < and > like this: <message>This is a &lt;message&gt; | element.</message>
You can implement the ______________and _____________methods to catch the starting and closing tags of elements. | startelement, endelement
You can implement the ___________method and extract the text node's text from the character array passed to you, using the starting position in the array. The length of the text is also passed to you. | characters
You can implement the characters method and extract the text node's text from the character array passed to you, using the | starting position in the array
You can implement the startElement and endElement methods to catch the starting and closing tags of elements | true
You can repeat lines of code within the XSL stylesheet by defining an apply template. | false
You can require a specific value for an attribute by setting the value for fixed. | true
You can select Project, Add Item in Visual Studio .NET to open the Add new Item dialog box. Then you select the XML File | template in the templates box, give the new document a name, and click the open button.
You can set a page to be an error page either through web.xml or by adding a page directive _____ | <%@page errorpage="errorpage.jsp" %>
You can set the xlink:show attribute to "replace". | true
You can use the #FIXED keyword. | name cdata #required
You can use the #IMPLIED keyword | address cdata #implied
You can use the <img> element's region attribute to specify a region that is defined in the <layout> element. | true
You can use the Attributes object passed to the ___________ method to handle an element's attributes. | startelement
You can use the Attributes object passed to the startElement method to handle an element's attributes. | true
You can use the dso .recordset.BOF and dso .recordset.EOF properties, where dso is the name of the DSO. | true
You can use the expression $elem/@*. | true
You can use the getNodeName method to get a node's name and its _____________ method to get its value. | getnodevalue
You can use the getNodeName method to get a node's name and its getNodeValue method to get its value. | true
You can use the nextChild method to move to the next child node. | true
You can use the node's ___________ method and check the results it returns against fields such as Node.ELEMENT_NODE,Node.TEXT_NODE, and so on. | getnodetype
You can use the node's getNodeType method and check the results it returns against fields such as Node.ELEMENT_NODE, Node.TEXT_NODE, and so on. | false
You can use the nodeValue property to get a node's value. | true
You can use this CSS property/value pair: font-size: 36pt | you can use this css property/value pair: display: block
You can use this CSS property/value pair: text-align: center | you can use this css property/value pair: text-decoration: underline. you can use this css property/value pair: margin-top: 10.
You can use XML like this: <xforms:instance> <data xmlns=""> <input>Hello!</input> </data> </xforms:instance> | .
You can use XSL Transformation (XSLT) to convert database files described by XML to Structured Query Language (SQL) statements, which creates the tables, indexes and views that the XML data describes. | true
You cannot set valid options when declaring an attribute. | false
You could use this attribute xmlns:service="http://www.superduperbigco.com/customer_service" in an element | after using this attribute, you can use the service prefix in the current element and any child elements.
You create a SAX parser by using the ________________object. | saxparserfactory
You define an array using | var myarray = new array();
You do not want the user to see the data and the format being passed to your server when the user tries to submit the information for registering with your site. Which HTTP method would you use? (Comment: You can set some hidden parameters such as server location, in the page when the user loads it. Such parameters mean nothing to the user and are generally not displayed. However, determined users can still view them using "View Source" for the page). | post
you have an attribute of enumerated type. What are the valid values for it ? | namechar
You have to send a gif image to the client as a response to a request. Which of the following calls will you have to make? (Choose one) | a. response.setcontenttype("image/gif");
You must use a parser to read an XML document. | false
You need to add to the Windows application a Web reference to the Web service, and you need to create an object corresponding to that service. Then you can call the Web service's members by using that object. | .
You need to make sure that the response stream of your web application is secure. Which factor will you look at? (Choose one) | c. data integrity
You should use a SAX parser if a DOM parser is unable to load the XML document into memory. | true
You use methods such as the warning method to handle warnings, the error method to handle errors, and the fatalError method to handle fatal errors. | true
You use the <xforms:model> element to specify how an XForm's data should be structured. | true
You use the <xsd:restriction> element | and the base attribute.
You want to create an attribute named "baseprice" with a default value of 200 for the "product" element. The attribute should accept integer values. Which of the following statements will you use to declare the attribute | <xsd:attribute name="baseprice" default= "200" type="xsd:integer"/>
You want to create an attribute named baseprice with a default value of 200 for the product element. The attribute should accept integer values. Which of the following statements will you use to declare the attribute? | <xsd:attribute name="baseprice" default= 200 type="xsd:integer"/>
You want to use a bean that is stored in com/enthu/GUI.ser file. Which of following statements correctly defines the tag that accesses the bean? | <jsp:usebean id="pref" beanname="com.enthu.gui" type="com.enthu.gui"/>
Your jsp page uses classes from java.util package. Which of the following statement would allow you to import the package? (Choose one) | <%@ page import="java.util.*"%>

____ are declared in each individual HTML element using the keyword STYLE.
a. Cascading style sheets
b. Inline styles
c. External styles
d. User style sheets ===> Aswer:  b

_____ in XSL do allow the element to be processed for multiple times, each time producing different result.
d. levels
b. pages
c. template
d. Modes ===> Aswer:  d

_____can validate your XML against a DTD.
a. Internet Explorer 5.0
b. Internet Explorer 6.0
c. Opera
d. Mozilla ===> Aswer:  a

____and_____ run slower when they are applied to large arrays.
a. linear search, binary search
b. linear search, bubble sort
c. binary search, bubble sort
d. linear - bubble search, binary - linear sort ===> Aswer:  b

. There are differences between Internet Explorer's DOM and Mozilla's DOM. The most
important difference is that how they handle
a. text nodes
b white-space text nodes
c. nodes
d None of these ===> Aswer:  b

"Position" function do returns the number equal to context position
a. True
b. False
c. Can't say
d. None of these ===> Aswer:  a

A ____ function returns number of nodes present in an argument node-set.
a. number
b. nodes
c. counter
d. count ===> Aswer:  d

A _____ instruction do contains the template, which is been applied to each node
selected with the select attribute.
a. xsl:for
b. xsl:for-each
c. xsl:do-while
d. xsl:while ===> Aswer:  b

A default value is automatically assigned to the attributes when no other value is specified.
a. False
b Not always
c. True
d None of these ===> Aswer:  c

A descendant having a new namespace cannot override the namespace defined by the
parent element? ===> Aswer:  f

A DTD can be declared inline in your XML document, or as an
a. internal reference
b. reference
c. Both 1 and 2
d external reference ===> Aswer:  d

A procedure for solving a problem in terms of the actions to be executed and the order in which these actions are to be executed is called
a. program control
b. a program structure
c. a control structure
d. an algorithm ===> Aswer:  d

A program in which all statements are executed one after the other in the order in which they are written exhibit____
a. transfer of control
b. algorithms
c. sequential execution
d. direct execution ===> Aswer:  c

A simple element is an XML element that can contain only
a. numbers
b text
c. images
d All the above ===> Aswer:  b

A variable that your webpage can store on or retrieve from the users computer is known as ?
a. Applet
b. Java
c. Cookie
d Session ===> Aswer:  c

a++; is the same as which of the following ?
a. a a+2;
b. a a+3;
c. a=a+1;
d. a a+4; ===> Aswer:  c

Actions that can be detected by JavaScript are called?
a. HTML
b. Events
c. Array
d. ArrayList ===> Aswer:  b

An attributes can be accessed in the way similar to the elements. Notice ____ in front of the attribute name.
a. @
b. S
c. %
d. & ===> Aswer:  a

An element declaration has the following syntax:
a. <!ELEMENT element-name category>
b <ELEMENT element-name category>
c. <!ELE element-name category>
d <!eIement-name ELEMENT category> ===> Aswer:  a

An empty complex element cannot have any contents, only
a. attributes
b only one content
c. values
d None of these ===> Aswer:  a

An XML Schema defines whether an element is empty or can include text. ===> Aswer:  t

An XML Schema describes the structure of an XML______
a. document
b. file
c. page
d. None of these ===> Aswer:  a

An xsl:numbers do inserts a formatted numbers into the _____
a. output
b. input
c. file
d. browser ===> Aswer:  a

Attributes are by default:
a. required
b. optional
c. fixed
d. default ===> Aswer:  b

Attributes provide____about elements.
a. extra information
b. information
c. more data
d. None of these ===> Aswer:  a

Both Mozilla and Internet Explorer support W3C's DOM specification.
a. False
b Not always true
c. True
d None of these ===> Aswer:  c

Browser has the ability distinguish duplicate element names in an XML document? ===> Aswer:  f

CDATA is text that ____ be parsed by a parser.
a. will not
b will
c. sometimes will
d sometimes will not ===> Aswer:  a

CDATA means:
a. common data
b. character data
c. computer data
d. None of these ===> Aswer:  b

CSS positions can be either absolute or _______
a. static
b. relative
c. transferred
d. disabled ===> Aswer:  b

DTD defines the document structure with a list of legal elements.
a. False
b. True
c. Not always
d. None of these ===> Aswer:  b

DTD is:
a. Data Type Definition
b. Document Type Definition
c. Definition Type Document
d. Definition Type Data ===> Aswer:  b

Each attribute,element and text in the XML document represents a
a. node in the tree
b. stumb in a tree
c. leaf in a tree
d. flowers in a tree ===> Aswer:  a

Elements are the main building blocks of both
a. XHTML and HTML documents
b. XML and HTML documents
c. XSL and XHTML documents
d. None of these ===> Aswer:  b

Elements with only character data are declared with
a. #CHAR
b. #TEXT
c. #PCDATA ===> Aswer:  c

Entities are expanded when a document is parsed by an XML
a. compiler
b parser
c. debugger
d Iinker ===> Aswer:  b

Entities are variables used to define
a. control
b. database
c. structure
d. common text ===> Aswer:  d

External DTDs use the keyword URL to specify the location of the DTD? ===> Aswer:  f

For each element type associated with a sequence element, there must be an element in the
XML instance in the same order? ===> Aswer:  t

For the XML parser to ignore a certain section of your XML document, which syntax is correct?
a. <CDATA> Text to be ignored </CDATA>
b <![CDATA[ Text to be ignored ]]>
c. <PCDATA> Text to be ignored </PCDATA>
d. <xml:CDATA[ Text to be ignored ]> ===> Aswer:  b

How do you read the first character in a string?
a. stringName.charAt(0);
b. stringName.substring( 1 );
c. stringNa1ne.charAt(1);
d. stringName.charAt(2); ===> Aswer:  a

How is an empty XML element defined?
a. <sample></sample>
b <sample/>
c. All of the above.
d None of the above. ===> Aswer:  c

How many indicators are present in Schema?
a. 4
b. 5
c. 6
d 7 ===> Aswer:  d

How many parameters are there for deleteData() method ? (st art, length)
a. 0
b. 1
c. 2
d. 3 ===> Aswer:  c

How many parameters are there for replaceData() method ?
a. 2
b. 4
c. 5
d 3 ===> Aswer:  d

If an element has attributes, it is considered to be of complex types.
a. False
b. True
c. Not always
d. None of these ===> Aswer:  b

If an XML element is of type "xs:date" and contain a string like "Hello World", the element will
a. validate
b sometime it will validate
c. sometime it will not validate
d not validate ===> Aswer:  d

If the DTD is external to your XML source file, it should be wrapped in a DOCTYPE definition with the following syntax:
a. <!DOCTYPE root-element SYSTEM "filename">
b. <DOCTYPE root-element SYSTEM "filename">
c. <!DOCTYPE root-element SYSTEM 'filename'>
d <!DOCTYPE SYSTEM "filename"> ===> Aswer:  a

If the DTD is included in your XML source file, it should be wrapped in a DOCTYPE definition with the following syntax:
a. <DOCTYPE root-element [element-declarations]>
b <DOCTYPE root-element (element-declarations)>
c. <!DOCTYPE root-element [element-declarations]>
d <!DOCTYPE [element-declarations]> ===> Aswer:  c

In a DTD, Attributes are declared with an_____ declaration
a. ATTRIBUTELIST
b. ATTLIST
c. ALIST
d All the above ===> Aswer:  b

In CSS, when a style is applied to an element containing other elements inside it
a. The style is applied to the element and all the other elements contained in it
b. The style is applied only to the main element
c. The style is applied only to the child elements
d. The user is prompted with a message enquiring whether the style is to be applied to the
child elements as well ===> Aswer:  a

In JavaScript, capital letters are different from lowercase letters?
a. Not on windows platforms
b. Yes
c. No
d. Not on Linux Platform ===> Aswer:  b

In SAX, to provide customized DTD handling, application need to implement
a. ErrorHandler
b. DTDHandler
c. EntityResolver
d. DcfaultHandlcr ===> Aswer:  b

In schema, the ALL element requires that
a. each element in the group must occur at most once
b. there must be an element in the XML instance in the same order
c. the maxOccurs attribute can be 0 or 1 ===> Aswer:  a

Inside which HTML element do we put the JavaScript?
a. <scripting>
b. <javascript>
c. <js>
d. <script> ===> Aswer:  d

Internet Explorer will skip white-space text node that are generated between nodes (e.g. new-line characters), while Mozilla will not.
a. True
b False
c. Not always true
d None of these ===> Aswer:  a

It defines the document structure with a list of ______
a. legal elements
b. elements
c. bad elements
d. None of these ===> Aswer:  a

It is usually advisable to keep as much JavaScript as possible in which section?
a. Head
b. Layer
c. Body
d. Title ===> Aswer:  a

JavaScript lines end with what?
a. comma
b. semicolon
c. colon
d. Bracket ===> Aswer:  b

ln DOM, a node can have
a. More than one parent nodes
b. More than one children nodes
c. No sibling nodes ===> Aswer:  b

Method characters() of ContentHandler interface receives events for
a. The beginning of element
b. Character data
c. The end of element
d. The beginning of document ===> Aswer:  b

Method hasChildNodes of XMLDOMNode mean
a. Determine if a given node is empty or not
b. Determine if a given node has child nodes or not
c. Determine if a given node and all descendants has been parsed and instantiated
d. Return an integer representing the XML DOM node type ===> Aswer:  b

One of the greatest strength of XML Schemas is the support for
a. images
b data types
c. graphics
d functions ===> Aswer:  b

Parameter entities use ampersand (&) and semicolon (;) as delimiters? ===> Aswer:  f

PCDATA means:
a. private character data
b public character data
c. parsed character data
d parsed and compiled data ===> Aswer:  c

Restrictions on XML elements are called
a. cards
b. decks
c. facets
d. faces ===> Aswer:  c

SAX support random access ===> Aswer:  f

SAX uses
a. Pull parsing machenic for processing
b. Push parsing machenic for processing
c. A in memory data structure for processing ===> Aswer:  b

Schema is an _____ based alternative
a XHTML
b. XML
c XSL
d XSLT ===> Aswer:  b

See the snip set below and choose one answer:
<xsl : value-of select "floor(-2.3)"/>
a. -2
b. -2.5
c. -3 ===> Aswer:  c

Specifies that the attribute cannot be used?
a. prohibited
b. required
c. optional
d. use ===> Aswer:  a

Stylesheet can do have ____ variables with the same name.
a. one
b. less than three
c. few
d several ===> Aswer:  d

Templates are been ordered according to their ____ which can be specified with the priority attribute.
a. levels
b priority
c. size
d date ===> Aswer:  b

The ____ instruction do enables the conditional processing.
a. xsl:do-while
b. xsl:while
c. xsl:ifelse
d. xsl:if ===> Aswer:  d

The ____ method can be used to display the value of the specified attribute.
a. attribute()
b. getAttributeO
c showAttribute()
d printAttribute() ===> Aswer:  b

The ____ method can be used to remove the specified node.
a. removeChild()
b. deleteChiId()
c. reChiId()
d. dropChiId() ===> Aswer:  a

The ____ method is used to remove the attribute node.
a. removeAttNode()
b. rmAtNode()
c. removeAttributeNode()
d. None of these ===> Aswer:  c

The ____ method returns a node list that contains all elements with the specified tag name in the same order as they appear in the source document.
a. getEIementsByName()
b elementsByTagname()
c. getElementsByTagname()
d byTagname() ===> Aswer:  c

The Copy and ____ constructs are used for the nodes copying
a. copy-by
b. copy-of
c. copy-for
d. copy-with. ===> Aswer:  b

The default value for the minOccurs attribute in Schema is 0 ===> Aswer:  f

The DOM is separated into how many different parts?
a. 2
b. 3
c. 4
d 5 ===> Aswer:  b

The DOM treats the XML document as
a. table-structure
b. file-structure
c. tree-structure
d. All the above ===> Aswer:  c

The most common way to assign a value to a variable is by using what ?
a. Equals sign
b, Name It
c. CSS
d. HTML ===> Aswer:  a

The question mark (?) operator indicates
a. either zero or one occurrence.
b. any number of occurrences.
c. one or more occurrences.
d. more than one occurrence. ===> Aswer:  a

The StAX cursor API represents
a. a cursor with which you can walk an XML document from beginning to end.
b. an XML document stream as a set of discrete event objects.
c. an object - based tree in computer memory ===> Aswer:  a

The syntax for defining an attribute is:
a. <xs:attribute name="xxx" type="yyy"/>
b <xs:attribute name="xxx" />
c. <attribute name="xxx" type="yyy"/>
d <xs:attribute name=xxx type=yyy/> ===> Aswer:  a

The World Wide Web Consortium (W3C) started to develop XSL because there was a need for:
a. ASP-based Stylesheet Language
b XSl-based Stylesheet Language
c. HTM L-based Stylesheet Language
d XML-based Stylesheet Language ===> Aswer:  d

The XML DOM define a standard set of ____ for XML
a. classes
b. functions
c. files
d. objects ===> Aswer:  d

The XML DOM is language- and platform
a. dependent
b. independent ===> Aswer:  b

The xsl:attribute do generates the elements in the time of processing.
a. False
b Not always
c. True
d None of these ===> Aswer:  c

The xsl:choose element is used for the purpose of selection between the several possibilities.
a. Not always
b True
c. False
d None of these ===> Aswer:  b

The xsl:element generates the elements in at time of processing.
a. True
b. False
c. Not always
d. None ===> Aswer:  a

The____method creates the new element node.
a. buiIdEIement()
b. createElement()
c. Element()
d. None of these ===> Aswer:  b

To divide the value of the seventh element of array a by 2 and assign the result to the variable x, we would write
a. x/2 a(7)
b. x a[7]/2
c. x=a[6]/2
d. x a(6/2) ===> Aswer:  c

To keep the browser from performing a script as soon as it is loaded you need to write the script as a what ?
a function
b delay
c performance
d Flexibility ===> Aswer:  a

To specify how whitespace characters should be handled, we would use the whiteSpace
a. functions
b constraints
c. values
d None of these ===> Aswer:  b

Tree model is applied to static documents? ===> Aswer:  f

Value of the local variable is bounded to which element.
a. xsl:where
b. xsl:when
c. xsl:than
d. xsl:which ===> Aswer:  b

We can navigate between nodes with the use of their ____ to each other.
a. degree
b. relationship
c. links
d levels ===> Aswer:  b

What does DTD stand for?
a. Dynamic Type Definition.
b Document Type Definition.
c. Do The Dance.
d Direct Type Definition. ===> Aswer:  b

What does the keyword SYSTEM indicate in the following code?
<?xml version "1.0"?>
<!DOCTYPE Book SYSTEM "book.dtd">
a. It is a system generated DTD
b. Book.dtd is an internal DTD
c. Book.dtd is an external DTD
d. Book is a system variable ===> Aswer:  c

What does the value string contain after the following code is executed?
var string "Good luck on the test";
string string.link("www.dcitel.com")
a. a link to www.deitel.com with the text "www.deitel.com"
b. a link to www•deitel.com with the text "Good luck on the test"
c. the text "www.deitel.com"
d. Nothing, the string conversion will generate an error. ===> Aswer:  b

What does XSL stand for?
a. eXtra Style Language
b. eXpandabIe Style Language
c. eXtensibIe Style Listing
d. eXtensibIe Stylesheet Language ===> Aswer:  d

What is a correct way of referring to a stylesheet called "mystyle.xsl"?
a. <Iink type="text/xsl" href="mystyle.xsl" />
b <?xml-stylesheet type="text/xsl" href="mystyle.xsl"?>
c. <stylesheet type="text/xsl" href="mystyle.xsl" />
d All of the above ===> Aswer:  b

What is the correct declaration syntax for the version of an XML document?
a. </xml version="1.0"/>
b. <? xml version="1.0"/?>
c. <xml version="1.0">
d. <?xml version="1.0" ?>
