which of these following items are benefits of e-learning? hint: choose multiple answers (3) | ,lower cost,greater flexibility,more effective learning
7) detection measures are actions that will make criminals abandon their idea of attacking a specific system. | false
8) internet fraud has grown even faster than the internet itself. | true
9) confidentiality, integrity, and awareness are the three components of the cia security triad. | false
10) encryption algorithm is the mathematical formula used to encrypt plaintext into ciphertext, and vice versa. | true
11) strong ec security makes online shopping more convenient for customers. | false
12) shoppers can rely on fraud protection provided by credit card issuers to protect them from identity theft. | false
14) which of the following is the underlying reason why comprehensive ec security is necessary? | c) security costs and efforts from reacting to online attacks and paying for damages are greater than if an ec security strategy is in place.
18) ________ is the process of determining what the authenticated entity is allowed to access and what operations it is allowed to perform. | authorization
19) ________ is the assurance that online customers or trading partners cannot falsely deny their purchase or transaction. | nonrepudiation
20) ______________ is the assurance that data are accurate or that a message has not been altered. | integrity
21) ________ is the assurance of data privacy. | confidentiality
22) ________ is the process of scrambling a message in such a way that it is difficult, expensive, or time-consuming for an unauthorized person to unscramble it. | encryption
23) ________ are barriers between a trusted network or pc and the untrustworthy internet. | firewalls
24) compare current motives of hackers to those of the past. | in the early days of ec, many hackers simply wanted to gain fame or notoriety by defacing web sites or gaining root, which means gaining unrestricted access to a network. criminals and criminal gangs are now profit oriented, and their tactics are not limited to the online world.
25) list and briefly describe the three components of the cia security triad. | the cia triad includes confidentiality, integrity, and availability. confidentiality is the assurance of data privacy. the data or transmitted message is encrypted so that it is readable only by the person for whom it is intended. the confidentiality function prevents unauthorized disclosure of information. integrity is the assurance that data are accurate or that a message has not been altered. it means that stored data has not been modified without authorization; a message that was sent is the same message that was received. availability is the assurance that access to data, the web site, or other ec data service is timely, available, reliable, and restricted to authorized users.
26) list the six major objectives of ec defense strategies. | prevention and deterrence, detection, containment, recovery, correction, and awareness and compliance are the six objectives.
27) briefly discuss the five encryption components. | the five components are plaintext, encryption algorithm, key or key value, key space, and ciphertext. plaintext is the original message or document that is created by the user and is in human-readable form. the encryption algorithm is the set of procedures or mathematical functions used to encrypt or decrypt a message. the key or key value is the secret value used with the algorithm to transform the message. key space refers to the large number of possible key values created by the algorithm to use when transforming the message. ciphertext is the message or document that has been encrypted into unreadable form.
28) briefly describe four major components for protecting internal information flow inside an organization. | firewall, virtual private network, intrusion detection system, and honeynet and honeypot are four components. a firewall is a single point between two or more networks where all traffic must pass; the device authenticates, controls, and logs all traffic. a virtual private network is a network that uses the public internet to carry information but remains private by using encryption to scramble the communications, authentication to ensure that information has not been tampered with, and access control to verify the identity of anyone using the network. intrusion detection systems are a special category of software that monitor activity across a network or on a host computer, watch for suspicious activity, and take automated action based on what it sees. a honeynet is a network of honeypots, and honeypots act as decoys and are watched to study how network intrusions occur.
1. preventing vulnerability during the ec design and pre-implementation stage is far more expensive than mitigating problems later. | false
1. one problem with the address verification system (avs) for fraud prevention is the number of false positives, meaning that the merchant rejects a valid order. | true
3. the disintermediation of cash and credit cards has been successful in the online world. | false
9. a file containing customer status and customer information that is used when processing transactions to identify known problem customers is a: | negative list.
1) a major objective of web 2.0 is to enhance creativity, information sharing, and collaboration. | true
2) one of the most significant differences between web 2.0 and the traditional web is the greater collaboration among internet users and other users, content providers, and enterprises. | true
3) lightweight programming techniques and tools letting nearly anyone act as a web site developer is a representative characteristic of web 2.0. | true
4) a criticism of web 2.0 is the inability to create new business models. | false
5) one of the major phenomena of web 2.0 is the emergence and rise of e-auctions. | false
6) a key feature of social media is that users control and use the media, often at little or no cost. | true
7) social media is limited to text and images. | false
8) companies that introduce a significant change in their industries, thus causing disruption in business operations, are referred to as disruptors. | true
9) disruption did not occur in the real estate brokerage industry. | false
10) most social networks, such as linkedin and weibo, are private communities. | false
11) social network analysis provides both a visual and a mathematical analysis of relationships where the nodes in the network are the people or groups, and the links show relationships between nodes. | true
12) interactions within mobile social networks are currently limited to exchanging simple text messages on a one-to-one basis. | false
13) business-oriented social networks are owned and operated within one enterprise, and their members are usually employees of the enterprise. | false
14) walmart's corporate social network is a major success. | false
15) according to an informationweek survey of business technology experts, wikis are the most useful web 2.0 tools in enterprise 2.0. | false
16) web 2.0 applications enable segmented advertising. | true
17) viral blogging is viral marketing done by bloggers. | true
18) apple and google undertook a formal merger to offer iphone capabilities, such as delivering google services through apple hardware. | false
19) choppy connectivity is one of four trends that may slow ec and web 3.0 and even cripple the internet. | true
20) which of the following is not an interaction element in a virtual community? | e-book
21) which of the following types of virtual communities just facilitates the exchange of information on a topic of mutual interest and does not support trading? | purpose or interest
22) which of the following refers to the mapping and measuring of relationships and flows between people, groups, organizations, animals, computers or other information- or knowledge-processing entities? | social network analysis
23) which of the following connects a circle of weblogs with a common focus or theme? | blogring
24) a type of mobile social networking where the company does not have a relationship with a wireless carrier is: | off-deck.
25) a(n) ________ is defined as a group of people that have some kind of commercial or business relationship such as the relationships between sellers and buyers, buyers among themselves, buyers and suppliers, and colleagues and other colleagues. | business network
26) a ________ is a social network whose primary objective is to facilitate business connections and activities. | business social network
27) guidelines regarding enterprise social networking activities include: | all of the above.
28) companies can interface with social networking in each of the following ways except: | sending flyers to customer mailboxes.
29) technologies and business practices that free the workforce from the constraints of legacy communication and productivity tools such as e-mail describes: | enterprise 2.0.
30) an online community that harnesses the power of one's social networks for the introduction, buying, and selling of products, services, and resources, including one's own creations describes: | social marketplace.
31) each of the following is a way social networks generate revenues except; | hosting auctions for individuals or enterprises.
32) a ________ is a collaborative online encyclopedia jointly written by volunteers. | wiki
33) ________ is the popular term for advanced internet technology and applications including blogs, wikis, rss, and social bookmarking. | web 2.0
34) the online platforms and tools that people use to share opinions and experiences, including photos, videos, music, insights, and perceptions with each other are known as ________. | social media
35) companies that introduce innovations that significantly change markets or entire industries due to their activities are referred to as ________. | disruptors
36) a ________ is a group of people with a common interest who interact on the internet. | virtual (internet) community
37) ________ communities open their membership to anyone. | public
38) ________ communities belong to a company, an association, or a group of companies. | private
39) ________ refers to the mapping and measuring of relationships and information flows among people, groups, organizations, computers, and other information- or knowledge-processing entities. | social network analysis
40) ________ refers to social networking where members converse and connect with one another using cell phones or other mobile devices. | mobile social networking
41) a ________ is a group of people who have some kind of commercial or business relationship. | business network
42) ________ refers to technologies and business practices that free the workforce from the constraints of legacy communication and productivity tools such as email. | enterprise 2.0
43) the term ________ is an online community that uses the power of social networks for the introduction, buying, and selling of products and services, including people's own creations. | social marketplace
44) ________ is viral marketing done by bloggers. | viral blogging
45) companies are finding that ________ outlets, such as blogs and wikis, not only generate faster and cheaper results than traditional focus groups, but also foster closer relationships with customers. | conversational marketing
46) define web 2.0. identify five characteristics. | web 2.0 is a popular term for advanced internet technology and applications, including blogs, wikis, rss, and social bookmarking. its characteristics include the ability to tap into the collective intelligence of users; making data available in new or never-intended ways; relying on user-generated and user-controlled content and data; lightweight programming techniques and tools, and letting nearly anyone act as a web site developer.
47) what is a virtual community? identify six common classifications. | a virtual community is a group of people with similar interests who interact with one another using the internet. six common classifications are transaction, purpose or interest, relations or practices, fantasy, social networks, and virtual worlds.
48) identify five guidelines for enterprise social networking activities. | five guidelines include allowing employees to collaborate and communicate in an employee-driven system; promoting the use of enterprise wikis via demonstrations; setting up internal blogs and incorporating them into internal directories so users can see who has a blog; setting up enterprise social bookmarking systems so users can see what sort of content their colleagues are tagging; and cios should be involved from the beginning to make sure the right infrastructure and tools are in place.
49) define web 3.0. identify five characteristics of web 3.0. | web 3.0 consists of the creation of high-quality content and services produced by gifted individuals using web 2.0 technology as an enabling platform. web 3.0 will provide faster, far-flung connectivity and richer ways of interacting; new web services that work entirely within a browser window; more powerful search engines; new artificial intelligence applications, and more uses of 3d tools.
50) identify four trends that may slow ec and web 3.0 and even cripple the internet. | security concerns, lack of net neutrality, copyright complaints, and choppy connectivity are four trends.
1. define e-government. | e-government is the use of it and e-commerce to provide access to government information and delivery of public services to citizens and business partners.
2. what are the four major categories of e-government services? | the four categories are: government-to-citizens, government-to-business, government-to-government and government-to-employees.
3. describe g2c. | the government-to-citizens model includes all interactions between a government and its citizens. this model is meant to increase efficiencies and create greater transparency to citizens.
4. describe how ebt works. | the ebt system allows the government to electronically transfer benefits to citizen's smart cards instead of sending checks or other vouchers.
5. describe the two main areas of g2b activities. | the two main areas of government to-business activities include electronic procurement where the government purchases goods from the private sector, and electronic auctions where the government electronically auctions surplus goods to businesses.
6. describe internal efficiency e-government activities. | these activities are meant to increase operation efficiencies though the use of it systems and processes.
1. caterpillar inc. created cat u to meet its training and learning needs. | true
2. the government-to-employees category consists of ec activities between units of government, including those within one government body. | false
3. the topic of e-learning is gaining much attention, especially because world-class universities such as mit, harvard, and stanford in the united states and oxford in the united kingdom are implementing it. | true
4. one of the facilitators of e-learning is ________ technologies, such as blogs and wikis. | web 2.0
5. e-learning drivers driving the transition from traditional education to online learning include each of the following except: | faculty with specialized expertise.
6. knowledge management uses knowledge: | to improve the functioning of an organization.
7. expertise location systems are designed to: | do all of the above.
8. which of the following is the central point of control for an e-market? | collaboration hub
9. updating knowledge as time progresses describes: | knowledge evolution.
10. e-books are delivered in each of the following ways except: | via rfid.
11. the wireless implementation of e-government mostly to citizens but also to businesses best describes: | mobile government.
12. which of the following is the e-government category that includes interactions between governments and businesses? | government-to-business.
14. a focal point for all corporate training and learning activities, including online ones best describes: | learning center.
15. according to an australian government 2.0 task force report, by embracing government 2.0 governments can: | do all of the above.
16. governments use web 2.0 tools mainly for: | collaboration, dissemination of information, e-learning, online forums, and citizen engagement.
17. each of the following is an example of e-government except a: | ebay-seller selling surplus army supplies.
18. potential drawbacks of e-learning include each of the following except: | knowledge retention is lower than in traditional classrooms.
19. the online delivery of information for purposes of education, training, or knowledge management best describes: | b. e-learning.
20. expanding access to information for people with disabilities is a performance objective of which category of e-government? | g2c
21. which of the following provides learning to an employee while the work is being done? | learning on-demand
22. the process of capturing or creating knowledge, storing it, updating it constantly, disseminating it, and using it whenever necessary best describes: | knowledge management.
1. b2c and b2b orders have similar order-fulfillment processes and pricing models. | false
2. b2b ec can increase the efficiency and effectiveness of supply chains or dramatically change the supply chain by eliminating one or more intermediaries. | true
3. strategic sourcing refers to purchases involving long-term contracts that usually are based on private negotiations between sellers and buyers. | true
4. each of the following is a major type of b2b structural model except: | collaborative union.
the purchase of goods and services as they are needed, usually at prevailing market prices is referred to as: | spot buying.
6. benefits of e-procurement over traditional procurement methods include each of the following except: | increasing the skill requirements and training needs of purchasing agents.
7. all are benefits of b2b except: | b2b increases channel conflict.
8. an example of a successful aggregation of suppliers' catalogs is that of ________, which aggregates more than 10,000 items from the catalogs of approved suppliers into an internal electronic catalog. | mastercard international
9. the two types of materials and supplies traded in b2b are: | direct and indirect.
10. nonproduction materials, such as office supplies, that support production are called: | indirect materials.
11. with a bartering exchange, a company submits its surplus to the exchange and receives: | points of credit, which the company can then use to buy items that it needs.
12. companies use ________ to sell their unneeded assets for quick disposal or to dispose of excess, obsolete, and returned products. | forward auctions
13. companies will usually separate b2c orders from b2b orders because b2c and b2b orders have different: | order-fulfillment processes and pricing models.
14. markets that deal with one industry or industry segment are: | vertical marketplaces.
15. purchases of goods and services based on long-term contracts is referred to as: | strategic sourcing.
16. b2b only includes electronic transactions between businesses conducted over the public internet. | false
17. in company-centric marketplaces, the individual company has very little control over who participates in selling or buying transactions. | false
23. the way government makes use of web 2.0 technologies to interact with citizens and provide government services best describes: | government 2.0.
24. which of the following is the e-government category that includes activities and services between government units and their employees? | government-to-employees
25. potential advantages of e-learning include each of the following except: | college professors are anxious to develop new online courses.
26. an online university from which students take classes from home or other offsite locations, usually via the internet best describes: | virtual university.
27. an example of g2c is a: | driver paying for the renewal of his auto tag online.
28. a system that locates, extracts, and provides specific answers to user questions expressed in natural language best describes: | automated question-answer.
29. which of the following is the e-government category that includes all the interactions between a government and its citizens? | government-to-citizens.
30. benefits of e-learning include: | all of the above.
31. formal education that takes place off campus, usually, but not always, through online resources best defines: | distance learning.
32. the three major elements of caterpillar inc.'s learning infrastructure include: | all of the above.
33. the primary advantage that e-books offer publishers is: | lower production, marketing, and distribution costs.
34. learning, training, and knowledge sharing in social networks and by using social software tools for learning best describes: | social learning.
35. which of the following is the e-government category that includes activities within government units and those between governments? | government-to-government
36. the major tasks of knowledge management include each of the following except: | supplementing knowledge.
37. software applications for the administration, documentation, tracking, and reporting of training programs, classroom and online events, e-learning programs and training content best describes: | learning management systems.
1. why is being number one in operation efficiency not enough to keep 1-800-flowers.com at the top of its industry? | more is needed because all other competitors offer similar efficiencies.
2. how was the transformation to a customer-intimate business accomplished? | the company uses extensive sas decision support and data mining software.
3. what is the role of data mining? | it allows the firm to anticipate customer needs.
4. why must the online presence and the telephone system be integrated? | so that all data constantly and consistently enters the system.
5. how is the one-to-one relationship achieved? | by understanding a customers preferences and needs based on past transactions.
1) finding and retaining customers is a major critical success factor for most offline and online businesses. | true
2) one of the keys to building effective customer relationships is an understanding of intelligent agents. | false
3) when chaplin's auto lease is about to expire, he decides it is time to buy a new car. this imbalance between a desired state and an actual state is called need identification. | true
4) when making a purchasing decision, deciding what product to buy is referred to as product brokering. | true
5) in the consumer decision-making process, the buyer is the person who ultimately makes the buying decision. | false
6) in the purchase decision-making process, blogs and search engines support the evaluation, negotiation, and selection step. | false
7) the first step in the purchase decision-making process is product evaluation and comparison. | false
8) personalization matches services, products, and advertising content with large groups of customer segments. | false
9) a user profile defines customer preferences, behaviors, and demographics and can be generated by observing what the user does online. | true
10) customer loyalty is a deep commitment to rebuy or repatronize a preferred product or service consistently in the future, thereby causing repetitive same-brand purchasing. | true
11) customer loyalty leads to enhanced resistance to competitors, a decrease in price sensitivity, and an increase in favorable word-of-mouth. | true
12) attracting and retaining loyal customers is the most important issue for e-tailers because customer loyalty can lower marketing and advertising costs, transaction costs, customer turnover expenses, and failure costs such as warranty claims. | true
13) e-loyalty is customer loyalty to an e-tailer or loyalty programs delivered online or supported electronically. | true
14) the aim of market research is to discover marketing opportunities and issues, to establish marketing and advertising plans, to better understand the purchasing process, and to evaluate marketing performance. | true
15) spyware is tiny graphics files embedded in e-mail messages and in web sites that transmit information about users and their movements to a web server. | false
1) a ________ is someone whose advice or view carries some weight in making a final purchasing decision. | influencer
2) banner advertising on web sites helps trigger a realization that there is a gap between reality and a desired state, which occurs in the ________ stage of the ec purchase decision-making process. | need identification
3) ec businesses generate user profiles in each of the following ways except by: | using customer segmentation to identify customers' preferences.
4) the use of cookies | is one of the most controversial issues in ec.
5) key factors limiting the use of personalization include | privacy and trust issues.
6) by increasing customer loyalty, ec companies achieve each of the following benefits except | lower click through rates.
7) the introduction of ec has | decreased customer loyalty because customers can more easily shop, compare, and switch to different vendors.
8) the psychological status of willingness to depend on another person or organization best defines | trust.
9) finding information and knowledge that describe the relationships among consumers, products, marketing methods, and marketers is the goal of | market research.
10) the tiny graphics files embedded in e-mail messages and in web sites that transmit information about users and their movements to a web server are | web bugs.
11) once a company knows a consumer's preferences, the company can predict, without asking the consumer directly, what other products or services that consumer might enjoy through | collaborative filtering.
12) the key problem that biometric marketing is intended to solve is | knowing the identity of the actual shopper.
13) the ethical issue raised by collaborative filtering is | invasion of privacy.
14) banner ads that appear when a predetermined word is queried from a search engine are | keyword banners.
15) an ad that appears underneath the current browser window, so when the user closes the active window the ad is still on the screen describes | pop-under ad.
1) ________ treats each customer in a unique way to fit marketing and advertising with the customer's profile and needs. | one-to-one marketing
2) ________ matches services, products, and advertising content with individuals and their preferences. | personalization
3) a ________ is a data file that is placed on a user's hard drive by a remote web server, frequently without disclosure or the user's consent that collects information about the user's activities at a site. | cookie
4) ________ is a deep commitment to rebuy or repatronize a preferred product or service consistently in the future, thereby causing repetitive same-brand purchasing. | customer loyalty
5) ________ is the psychological status of willingness to depend on another person or organization. | trust
6) ________ are tiny graphics files embedded in e-mail messages and in web sites that transmit information about users and their movements to a web server. | web bugs
7) ________ are data that occur inside the web environment, and they provide a trail of the user's activities in the web site. | clickstream data
8) ________ is online marketing, facilitated by the internet, by which marketers and advertisers can interact directly with customers, and consumers can interact with advertisers or vendors. | interactive marketing
9) ________ is online advertising that focuses on social networking sites. | social network advertising
10) ________ is a marketing arrangement by which an organization refers consumers to the selling company's web site. | affiliate marketing
1) list and briefly discuss the five major roles that people play in the decision-making process. | the major roles are initiator, influencer, decider, buyer, and user. the initiator is the person who first suggests or thinks of the idea of buying a particular product or service. the influencer is the person whose advice or view carries some weight in making a final purchasing decision. the decider is the person who ultimately makes a buying decision or part of it, such as whether to buy, what to buy, how to buy, or where to buy. the buyer is the person who makes the actual purchase. the user is the person who consumes or uses the product or service.
2) list four reasons why web advertising is growing rapidly. | seven reasons are mentioned in the textbook and include cost, richness of format, personalization, timeliness, location-basis, linking, and digital branding. referencing cost, online ads are sometimes cheaper than those in other media. in addition, ads can be updated at any time with minimal cost. in terms of format richness, web ads effectively use the convergence of text, audio, graphics, and animation. in addition, games, entertainment, and promotions can be easily combined in online advertisements. when using personalization, web ads can be interactive and targeted to specific interest groups or individuals, and the web is a much more focused medium. in the area of timeliness, internet ads can be fresh and up-to-the-minute. web advertising can be location based; internet ads can be sent to consumers whenever they are in a specific time and location. with linking, it is easy to link from an online ad to a storefront. in the area of digital branding, even the most price-conscious online shoppers are willing to pay premiums for brands they trust.
1. an ad that appears underneath the current browser window, so when the user closes the active window the ad is still on the screen describes: | pop-under ad.
2. which of the following major factors is the most important predictor of online buying behavior? | product information requested
3. word-of-mouth marketing by which customers promote a product or service by telling others about it is referred to as | viral marketing.
5. data collection methods in the web 2.0 environment include each of the following except | branding.
6. as the volume of customers, products, vendors, and information increases, it becomes uneconomical, or even impossible, for customers to consider all relevant information and available products and services. the practical solution to handling such information overload is to | use software or intelligent agents.
12. web site content is especially important to increase stickiness because | customers are expensive to acquire.
13. one of the major challenges of one-to-one advertising is ________, or the flooding of users with junk e-mail, banners, and pop-ups. | spamming
15. in the consumer decision process, which of the following roles ultimately makes the buying decision or any part of it? | decider
18. one problem with web analytics, web mining, and clickstream data is that we observe and follow a computer, not knowing who is actually moving the mouse. | true
19. virtual catalogs and links to external sources support the information search step in the purchase decision-making process. | true
1) the amount and percentage of goods and services sold on the internet is increasing rapidly, despite the failure of many dot-com companies. | true
2) when comparing retailing to e-tailing, e-tailing has a lower cognitive shopping overhead due to easy-to-establish mutual trust. | false
3) commodities with standard specifications (e.g., books, cds, airline tickets) are expected to facilitate higher sales volumes. | true
4) a business model is a description of how an organization intends to generate revenue through its business operations. | true
5) marketing done online between any seller and buyer is indirect marketing. | false
6) direct marketers are firms that sell directly to consumers over the internet without maintaining a physical sales channel. | false
7) a click-and-mortar retailer is a combination of both the brick-and-mortar retailer and an online transactional web site. | true
8) competition among online travel e-tailers is fierce, with low margins, little customer loyalty, and increasing commoditization of products and services. | true
9) the electronic job market can create high turnover costs for employers by accelerating employees' movement to other jobs. | true
10) when compared to the traditional job market, an advantage of the online job market is its long life cycle. | true
11) an advantage of the electronic job market for job seekers is that they can assess their market value. | true
12) many insurance companies use a dual strategy, keeping human agents but also selling online. | true
13) the major risk of online trading is security. | true
14) both online banks and click-and-mortar banks carry some risks and problems, especially in international banking, including hackers and liquidity risk. | true
15) a major problem in b2c is the increasing rate of online fraud. | true
1) each of the following describes retailing except: | companies that produce a larger number of products, such as proctor & gamble, do not need retailers for efficient distribution.
2) retailers who sell over the internet are called | e-tailers.
3) what is the primary advantage of catalog sales? | catalogs eliminate the constraints of
5) dell's distribution strategy is best described as | direct marketing from a manufacturer.
7) each of the following is a revenue model for online independent travel agents except | direct competition revenues.
8) compared to the traditional job market, the online job market | tends to be much less expensive.
9) which of the following parties use the internet job market? | all of the above
10) advantages of the electronic job market for employers include each of the following except | charging online processing fees.
11) advantages of the electronic market for job seekers include each of the following except | competing with less qualified applicants.
12) e-banking | saves time and money.
13) which of the following is not an online banking application category? | delivery
14) gateways to storefronts and e-malls are | shopping portals.
15) tools that scout the web on behalf of consumers who specify search criteria are | shopbots.
1) broadly, marketing that takes place without intermediaries between manufacturers and buyers describes ________. | direct marketing
2) ________ are firms that sell directly to consumers over the internet without maintaining a physical sales channel. | virtual (pure-play) e-tailers
3) ________ are brick-and-mortar retailers that offer a transactional web site from which to conduct business. | click-and-mortar retailers
4) the ________ is the online b2c business model where a manufacturer sells to a business, but delivers to individual customers. | b2b2c
5) ________ is the online b2c business model where manufacturers customize their products and services via online orders. | make (build)-to-order
6) various banking activities conducted from home or the road using an internet connection describes ________. | electronic banking
7) gateways to e-storefronts and e-malls describes ________. | shopping portals
8) tools that scout the web on behalf of consumers who specify search criteria describes ________. | shopping robots
9) the process whereby intermediaries take on new intermediary roles describes ________. | reintermediation
10) ________ is the situation in which an online marketing channel upsets the traditional channels due to real or perceived damage from competition. | channel conflict
1) list five business models by distribution channel. | the five business models are direct marketing by mail-order retailers that go online, direct marketing by manufacturers, pure-play e-tailers, click-and-mortar retailers, and internet malls.
2) what are virtual (pure-play) e-tailers? give an example. list one advantage and one disadvantage of this model. | virtual (pure-play) e-tailers are firms that sell directly to consumers over the internet without maintaining a physical sales channel. amazon.com is a prime example of this type of e-tailer. virtual e-tailers have the advantage of low overhead costs and streamlined processes. one disadvantage is a lack of established infrastructure or back office to support the online front-office activities.
2. each of the following is a characteristic of wayn except: | when it introduced fees for its premier travel membership service, it lost most of its new subscriptions.
5. competitive advantages of a "pull" vehicle distribution process include | all of the above.
6. conducting e-commerce where the online channel of a business is integrated with the physical retail business as opposed to being a separate channel best defines | considered commerce.
9. business rating sites can aid consumer purchase decisions. | true
16. amazon.com experienced each of the following except | establishing a grocery delivery service called amazonconnect.
20. the top 500 e-tailers accounted for 65 percent of all online sales in 2009. | true
24. the sears marketing strategy is best described as | a click-and-mortar strategy.
26. a type of online mall that is basically a directory organized by product type best describes | referring directory.
2. ebay auctions are mostly: | consumer-to-consumer
3. the type of ec transactions used by zappos are: | business-to-consumer
4. the second generation of internet-based services that lets people collaborate and share information online in new ways, such as social networking sites, wikis, communication tools, and folksonomies best defines: | web 2.0
5. major barriers to ec include all of the following except: | lack of programmers
6. a ________ is a company's method of doing business to generate revenue to sustain itself. | business model
7. large private organizational buyers and government agencies make large-volume or large-value purchases through ________, also known as reverse auctions. | electronic tendering systems
9. electronic commerce is an interdisciplinary field. | true
10. the structure of a social network is often very simple. | false
11. benefits of e-commerce to customers include: | all of the above.
12. a category of internet applications that helps connect friends, business partners, or individuals with specific interests by providing free services such as photo presentation, e-mail, blogging, and so on using a variety of tools best describes: | social networking.
13. a network that uses the internet to link ent intranets best defines: | extranet.
14. the e-commerce model in which a business provides some product or service to a client business that maintains its own customers is called: | business-to-business-to-consumer.
15. collaborative computing is an approach aimed at making the human-computer interface more natural. | false
16. enterprise social networks are privately owned by corporations and operate inside them. | true
17. pure-play organizations are old-economy organizations that perform their primary business offline, selling physical products by means of physical agents. | false
18. according to the ________ revenue model, customers pay a fixed amount, usually monthly, to receive some type of service. | subscription fees
19. a broader definition of ec that includes not just the buying and selling of goods and services, but also servicing customers, collaborating with business partners, and conducting electronic transactions within an organization best defines: | e-business
20. using web 2.0 tools, companies can: | do all of the above.
21. many companies use a corporate portal, which is a gateway for customers, employees, and partners to reach corporate information and communicate with the company. | true
22. facebook is an example of an enterprise social network. | false
23. purchasing a computer from dell's web site is partial ec because the merchandise is physically delivered. | true
24. ec enablers include electronic markets, e-stores, and e-catalogs. | true
25. storefronts, malls, and portals are ec mechanisms that support the entertainment ec activity. | false
26. the emergence of electronic marketplaces has resulted in lower information search costs for buyers and lower transaction and distribution costs for sellers. | true
27. although both marketplaces and marketspaces can sell physical products, the marketspace can also sell digital products. | true
28. an intermediary is a third party that operates between sellers and buyers. | true
29. travelers using airline web sites to book their flights directly without the use of travel agents is resulting in the reintermediation of travel agents. | false
30. electronic storefronts, internet malls, and exchanges are major b2b e-marketplaces. | false
31. brokers and infomediaries are two types of online intermediaries. | true
32. search engines not only "search and match," but also have capabilities that can be used to perform routine tasks that require intelligence. | false
33. 10) an electronic shopping cart is an order-processing technology that allows customers to accumulate items they wish to buy while they continue to shop. | true
34. shopping carts for b2b are fairly simple, but a shopping cart for b2c may be more complex. | false
35. an auction is a market mechanism that uses a competitive process by which a seller solicits consecutive bids from buyers or a buyer solicits bids from sellers. | true
36. auctions are based on dynamic pricing. | true
37. reverse auctions are bidding or tendering systems in which the buyer places an item for bid on a request for quote system; then potential suppliers bid on the job, with the price reducing sequentially, and the lowest bid wins. | true
38. 15) in the one buyer, many potential sellers dynamic pricing configuration, the sellers use a forward auction. | false
39. electronic markets are the ec mechanism supporting the | presence and delivery, find information, compare, and analyze ec activities.
40. each of the following is a main function of traditional and electronic markets except | financing the transformation of raw materials into finished products.
42. digital products have different cost curves than those of regular products because in digitization | most costs are fixed, and variable costs are very low.
43. 4) the portion of an e-seller's business through which customers interact, including the seller's portal, electronic catalogs, shopping cart, and payment gateway is the | front end of the business.
44. 5) the elimination of various types of agents that mediate between buyers and sellers, such as travel and insurance agents, is referred to as | b) disintermediation.
45. online markets that are owned and operated by a single company and that are either sell-side or buy-side are known as | private e-marketplaces.
47. 7) public e-marketspaces are | all of the above.
48. 8) functionalities provided by ec merchant server software include | all of the above.
49. 9) the presentation of product information in an electronic form and also serving as the backbone of most e-selling sites describes | electronic catalog.
50. 10) search tools that search the contents of a user's or organization's computer files, rather than searching the internet are | desktop search tools.
51. 11) a market mechanism that uses a competitive process in which a seller solicits consecutive bids from buyers or a buyer solicits bids from sellers best defines | auction.
52. 12) the most common and traditional form of auctions in which one seller entertains bids from many buyers best describes | forward auctions.
53. 13) the dynamic pricing configuration where the resulting price is determined by each party's bargaining power, supply and demand in the item's market, and possibly business environment factors best describes | a) one buyer, one seller.
55. 14) all of the following are benefits of e-auctions to buyers except: | a) can liquidate large quantities quickly.
57. 15) which of the following statements about bartering is false? | it is primarily done between individuals and private parties.
1) ________ refers to an online market, usually b2b, in which buyers and sellers exchange goods or services. | e-marketplace
60. 2) a marketplace in which sellers and buyers exchange goods and services for money (or other goods and services), but do so electronically defines ________. | marketspace
62. 3) ________ refers to the portion of an e-seller's business processes through which customers interact, including the seller's portal, electronic catalogs, a shopping cart, a search engine, and a payment gateway. | front end
